SRC,TGT,Sign
8075,6929,-1
6699,8132,-1
472,1488,-1
4253,2273,-1
6096,10907,-1
4272,3769,-1
1224,373,-1
1408,3581,-1
8338,2496,-1
371,547,-1
2379,9468,-1
7128,2185,-1
1037,6133,-1
1799,9242,-1
1420,1982,-1
1997,1517,-1
815,2257,-1
5987,714,-1
49,7956,-1
805,576,-1
6337,9051,-1
2395,6735,-1
413,8109,-1
1546,4125,-1
3009,4905,-1
8313,4204,-1
210,58,-1
951,2091,-1
1500,921,-1
123,2563,-1
4155,3637,-1
5656,8193,-1
6161,5974,-1
5758,7124,-1
5872,4674,-1
4794,3256,-1
5584,7226,-1
2701,7487,-1
4151,4106,-1
1705,169,-1
6082,834,-1
509,7780,-1
1087,9741,-1
7666,8151,-1
29,196,-1
44,106,-1
8049,7712,-1
6691,8372,-1
3174,5698,-1
12,275,-1
2545,441,-1
2224,3509,-1
577,227,-1
2163,2106,-1
413,9992,-1
281,3911,-1
2459,4905,-1
165,388,-1
5103,7864,-1
4528,9824,-1
7703,9526,-1
6173,9830,-1
511,4905,-1
106,3006,-1
2395,3374,-1
2151,1364,-1
1508,1421,-1
126,1488,-1
1677,4920,-1
413,1186,-1
1834,441,-1
592,376,-1
3426,1765,-1
6644,3085,-1
9857,6731,-1
8297,9530,-1
1650,7955,-1
10996,8044,-1
3873,4794,-1
5868,2104,-1
1995,10051,-1
7148,9931,-1
1367,58,-1
5866,6200,-1
4253,5779,-1
588,8639,-1
2266,1392,-1
815,5510,-1
5862,9461,-1
3857,6479,-1
5889,6525,-1
10031,9316,-1
2395,6239,-1
1032,7609,-1
3413,5678,-1
2188,9848,-1
5226,9165,-1
8360,6119,-1
6000,2915,-1
10922,9741,-1
3004,248,-1
4737,2459,-1
102,321,-1
5765,7901,-1
2878,5771,-1
5621,7901,-1
847,94,-1
472,859,-1
2148,2878,-1
1127,294,-1
2109,2063,-1
5342,7680,-1
827,914,-1
460,221,-1
2312,6166,-1
2701,1565,-1
751,5490,-1
8510,5829,-1
4639,10059,-1
5851,9137,-1
1123,8020,-1
1498,309,-1
377,6135,-1
4453,7792,-1
1179,1393,-1
5994,4793,-1
4154,8619,-1
4134,5678,-1
4350,4207,-1
430,6886,-1
1599,1486,-1
1799,2936,-1
1415,69,-1
366,1262,-1
6659,812,-1
852,692,-1
10264,10852,-1
278,2001,-1
5862,5546,-1
121,4300,-1
2123,376,-1
846,2897,-1
5570,6772,-1
814,3009,-1
1367,1706,-1
584,8577,-1
577,5228,-1
577,4415,-1
2978,330,-1
905,1330,-1
6735,9888,-1
2496,275,-1
5809,5092,-1
1820,1780,-1
2130,6649,-1
167,2178,-1
1650,3044,-1
8511,6886,-1
1948,2422,-1
423,139,-1
2759,5327,-1
3233,974,-1
4154,6325,-1
366,2100,-1
3866,2454,-1
23,10903,-1
1452,8816,-1
899,6525,-1
6746,5853,-1
2589,1165,-1
6200,6195,-1
1948,4287,-1
829,2064,-1
379,499,-1
6121,234,-1
386,1583,-1
3697,3056,-1
5103,4256,-1
28,2951,-1
2188,6321,-1
235,1264,-1
3104,7521,-1
377,239,-1
44,2025,-1
6973,4412,-1
587,5497,-1
1995,8045,-1
4589,3783,-1
1737,4109,-1
2191,376,-1
6082,6080,-1
5578,7403,-1
1987,3185,-1
1414,2064,-1
8011,9959,-1
6233,5512,-1
4112,106,-1
902,441,-1
3342,8322,-1
4800,4814,-1
9075,3426,-1
7792,9756,-1
8254,1901,-1
3535,4706,-1
613,1009,-1
6511,9881,-1
6272,7609,-1
10101,11184,-1
42,218,-1
1948,2524,-1
349,1624,-1
6717,2381,-1
413,5531,-1
2112,1413,-1
246,2225,-1
8304,9634,-1
4117,5417,-1
277,328,-1
2354,3916,-1
9923,5432,-1
919,127,-1
519,376,-1
375,5494,-1
210,5064,-1
7147,3968,-1
1486,1517,-1
5755,7744,-1
2368,11076,-1
8407,8351,-1
2084,1570,-1
3370,3269,-1
3237,812,-1
127,98,-1
121,443,-1
862,2240,-1
1656,1640,-1
1948,2759,-1
4289,6917,-1
1772,1570,-1
105,218,-1
7407,2878,-1
154,894,-1
155,37,-1
3697,9556,-1
5354,5353,-1
322,2333,-1
577,5438,-1
6131,9333,-1
7995,9434,-1
3712,3967,-1
6337,3871,-1
951,1626,-1
8047,4060,-1
1396,4229,-1
6729,9580,-1
3205,2980,-1
6169,9382,-1
7831,9812,-1
2935,3226,-1
3231,7880,-1
137,110,-1
2963,3592,-1
4154,6688,-1
2130,6103,-1
62,812,-1
7708,7701,-1
6135,9790,-1
484,17,-1
520,5008,-1
584,106,-1
1810,3073,-1
5620,7821,-1
3991,7690,-1
10226,10767,-1
3064,5605,-1
1571,4183,-1
676,7609,-1
7831,9808,-1
1408,4271,-1
2008,3828,-1
5762,5669,-1
5988,8806,-1
10083,11228,-1
16,213,-1
5843,7557,-1
611,105,-1
2808,9376,-1
976,394,-1
8354,8351,-1
6130,5853,-1
2571,7782,-1
3005,376,-1
5824,7543,-1
2028,930,-1
49,7403,-1
562,2845,-1
1396,2819,-1
5784,7321,-1
799,3345,-1
1392,12,-1
9228,5847,-1
123,269,-1
648,5034,-1
347,7780,-1
2011,349,-1
1038,227,-1
4480,6239,-1
1593,196,-1
1412,1041,-1
943,1600,-1
2229,2247,-1
388,230,-1
945,1027,-1
815,5669,-1
8847,4927,-1
89,5750,-1
3759,4270,-1
4337,5531,-1
951,1794,-1
5393,2835,-1
764,783,-1
951,127,-1
413,6077,-1
8562,10261,-1
1382,2835,-1
5176,2084,-1
46,275,-1
278,4706,-1
3863,5636,-1
809,2178,-1
3426,6417,-1
6236,5755,-1
727,3111,-1
4480,6727,-1
8416,239,-1
2571,4247,-1
5274,10715,-1
4112,5040,-1
5756,5887,-1
4247,7380,-1
3008,11,-1
6335,3593,-1
5596,7934,-1
3346,812,-1
6085,10836,-1
2711,2954,-1
4473,2454,-1
8792,9720,-1
123,1015,-1
3040,5128,-1
3949,8428,-1
836,240,-1
1781,1684,-1
8858,5105,-1
1474,3226,-1
4379,1730,-1
4482,4287,-1
86,3044,-1
1408,5636,-1
1634,2065,-1
4571,4204,-1
3019,1496,-1
2167,519,-1
1533,1847,-1
1948,5592,-1
2436,3956,-1
8696,10722,-1
899,8590,-1
4155,5370,-1
2916,2884,-1
6135,3413,-1
4114,6415,-1
815,3754,-1
2559,1020,-1
4331,9039,-1
2395,9561,-1
6173,7543,-1
1180,1620,-1
10046,10631,-1
5889,9759,-1
6135,8783,-1
1396,2015,-1
124,2796,-1
2225,4041,-1
1006,9323,-1
815,2266,-1
2143,1987,-1
1987,279,-1
3236,9161,-1
2649,6790,-1
210,3498,-1
3952,10107,-1
3970,588,-1
6784,3968,-1
2229,2782,-1
4398,714,-1
8330,3372,-1
3137,4645,-1
6004,7554,-1
8434,9039,-1
4247,6600,-1
2219,4597,-1
7707,7701,-1
3943,5636,-1
6230,9560,-1
441,5495,-1
124,1027,-1
159,2945,-1
3030,4104,-1
5571,140,-1
4351,4341,-1
5302,196,-1
2011,4062,-1
1948,4159,-1
5920,2926,-1
2008,4098,-1
350,2379,-1
6137,6173,-1
1629,2715,-1
2718,4663,-1
3759,3957,-1
8626,10049,-1
61,127,-1
3301,1501,-1
350,2109,-1
1343,3509,-1
278,812,-1
2209,2871,-1
2391,2926,-1
751,4653,-1
6246,9560,-1
2208,139,-1
10104,10100,-1
3697,8193,-1
3139,4004,-1
5889,8206,-1
2539,5328,-1
1108,98,-1
161,527,-1
2400,3827,-1
4142,3526,-1
6198,9264,-1
1392,2304,-1
125,3090,-1
5584,7540,-1
1137,1132,-1
1538,2008,-1
3355,2897,-1
2104,3888,-1
708,2484,-1
641,1090,-1
8220,7142,-1
4134,5370,-1
2254,66,-1
353,3069,-1
951,2333,-1
5751,9333,-1
588,3006,-1
265,3268,-1
453,3056,-1
4359,4668,-1
163,2879,-1
2207,428,-1
1834,5730,-1
1224,5530,-1
584,5986,-1
3341,2527,-1
5853,7403,-1
6015,239,-1
8019,8118,-1
2104,2459,-1
8852,8047,-1
4331,9588,-1
510,1215,-1
2423,7074,-1
5859,2857,-1
8247,3703,-1
6728,5302,-1
6129,8276,-1
2418,2240,-1
2527,2325,-1
3487,257,-1
4128,5776,-1
4284,330,-1
6138,7729,-1
61,1528,-1
41,1794,-1
603,240,-1
2406,2279,-1
5414,812,-1
4169,1364,-1
257,5698,-1
2011,1496,-1
299,573,-1
413,9147,-1
413,5828,-1
5755,9819,-1
2273,2563,-1
882,1488,-1
413,7603,-1
360,3967,-1
1705,4183,-1
6117,9448,-1
1659,1782,-1
4208,312,-1
5584,9858,-1
2398,257,-1
2158,812,-1
332,2897,-1
61,1998,-1
5630,7521,-1
951,1119,-1
362,2328,-1
1499,1396,-1
10087,3637,-1
4220,4690,-1
4125,5092,-1
4685,4867,-1
80,2553,-1
453,7956,-1
1987,1985,-1
4376,812,-1
1148,3009,-1
3015,1272,-1
2414,2454,-1
6095,3871,-1
265,1227,-1
2165,2953,-1
317,1278,-1
222,1791,-1
6246,3003,-1
1498,5299,-1
8917,3336,-1
123,1547,-1
128,41,-1
3186,9523,-1
413,6030,-1
86,5321,-1
8254,9194,-1
3023,2325,-1
9635,953,-1
6820,4793,-1
3882,3842,-1
6737,6309,-1
2700,4117,-1
8255,5986,-1
2240,5530,-1
2409,10126,-1
1053,4411,-1
1085,2270,-1
1702,2894,-1
431,7952,-1
5896,2188,-1
9907,10767,-1
4142,3246,-1
4117,373,-1
4955,3827,-1
8020,7827,-1
2406,8795,-1
2806,1782,-1
123,237,-1
10345,10354,-1
6335,10033,-1
4117,5609,-1
413,3840,-1
4154,5512,-1
1622,4794,-1
7994,8020,-1
7145,9297,-1
279,213,-1
86,3911,-1
6129,8045,-1
527,2600,-1
322,4,-1
2315,2304,-1
3882,4488,-1
1663,191,-1
408,394,-1
7709,239,-1
2963,1496,-1
2589,3035,-1
4800,9473,-1
6056,5512,-1
4242,106,-1
3237,9333,-1
4551,4617,-1
7214,588,-1
2213,2741,-1
4368,5470,-1
668,96,-1
156,279,-1
815,5357,-1
425,783,-1
829,1119,-1
6135,6235,-1
2990,1488,-1
846,3501,-1
6742,8351,-1
2545,1643,-1
1027,2063,-1
347,7606,-1
3176,1570,-1
1278,275,-1
168,945,-1
4123,3256,-1
1488,191,-1
5771,6173,-1
420,930,-1
6048,7729,-1
3342,10821,-1
465,3523,-1
3026,61,-1
313,1027,-1
4946,10280,-1
1396,4101,-1
9252,10925,-1
7861,9566,-1
301,2612,-1
2055,3009,-1
62,1009,-1
2257,2715,-1
121,1421,-1
2101,566,-1
8016,6749,-1
4412,6440,-1
7032,7029,-1
2809,98,-1
8833,8840,-1
413,5698,-1
1995,9137,-1
7314,1452,-1
3943,1570,-1
2266,9992,-1
6717,7137,-1
2488,3785,-1
4656,5490,-1
2184,5907,-1
2533,5584,-1
5807,4235,-1
2571,1870,-1
2130,930,-1
2158,288,-1
751,3268,-1
1650,5510,-1
846,607,-1
6704,8240,-1
3170,1272,-1
441,3887,-1
413,3044,-1
1766,1737,-1
9446,9544,-1
4784,6325,-1
6077,3755,-1
6246,3968,-1
1948,297,-1
2130,5425,-1
3002,3965,-1
1678,2814,-1
1955,346,-1
6172,1765,-1
441,221,-1
8002,10864,-1
2367,1223,-1
1550,921,-1
6085,9242,-1
4117,4979,-1
4348,5755,-1
847,1643,-1
10049,6986,-1
6014,9472,-1
122,2454,-1
2693,196,-1
10534,10971,-1
6656,5420,-1
1287,5585,-1
7703,9422,-1
3342,8704,-1
4284,2878,-1
413,4560,-1
6348,7939,-1
5859,6996,-1
665,1803,-1
5622,7351,-1
2878,7917,-1
1553,10830,-1
2416,2084,-1
431,9039,-1
161,1517,-1
18,110,-1
2237,279,-1
5849,6119,-1
4331,8985,-1
1995,8202,-1
210,4117,-1
8982,8615,-1
124,328,-1
2570,4191,-1
584,812,-1
4193,3216,-1
3378,3581,-1
1518,562,-1
4340,2279,-1
431,7278,-1
6905,8827,-1
2571,5416,-1
7040,7403,-1
28,169,-1
1498,5609,-1
511,1488,-1
3866,812,-1
28,831,-1
2188,5530,-1
815,5416,-1
1987,2971,-1
205,46,-1
7068,3703,-1
244,221,-1
69,2029,-1
3400,812,-1
8016,8795,-1
14,275,-1
3074,3073,-1
4267,4132,-1
8488,8403,-1
10309,6479,-1
1514,1399,-1
751,5461,-1
1452,1495,-1
1182,1223,-1
1367,1570,-1
105,166,-1
4332,2149,-1
7665,5847,-1
2716,2001,-1
133,94,-1
8071,8118,-1
6749,9249,-1
413,2422,-1
4150,7223,-1
3526,3841,-1
281,94,-1
465,5887,-1
3011,3009,-1
4370,5644,-1
3774,726,-1
6727,6724,-1
4381,4207,-1
1396,3916,-1
2532,10740,-1
4253,4560,-1
6181,7932,-1
4811,4418,-1
2593,2828,-1
86,2874,-1
7994,10780,-1
6135,9777,-1
3943,9941,-1
4495,9165,-1
4784,6537,-1
5631,7538,-1
4193,4142,-1
1588,921,-1
5758,7615,-1
5312,1452,-1
3854,2266,-1
1367,2279,-1
1948,370,-1
1874,376,-1
23,8279,-1
1553,10867,-1
708,4919,-1
265,4324,-1
4021,1705,-1
1659,1548,-1
350,2931,-1
825,4247,-1
580,2835,-1
278,282,-1
163,441,-1
6979,4412,-1
2167,1278,-1
2130,5293,-1
3846,5667,-1
128,6764,-1
123,443,-1
7,2063,-1
3803,2422,-1
4490,1565,-1
2275,154,-1
341,1009,-1
2185,8351,-1
7698,7697,-1
4284,6004,-1
3186,1874,-1
3074,3739,-1
6851,1563,-1
8047,8262,-1
1001,28,-1
339,887,-1
12,294,-1
3975,3610,-1
3067,3315,-1
773,1565,-1
1456,861,-1
11041,11184,-1
3562,3691,-1
6037,6751,-1
4226,3044,-1
6315,7457,-1
1116,714,-1
2963,1528,-1
5991,6731,-1
2532,6082,-1
588,7690,-1
780,8428,-1
3052,1364,-1
4561,5471,-1
3088,451,-1
10038,11202,-1
10098,8047,-1
2406,5008,-1
645,280,-1
1632,736,-1
944,1260,-1
4675,3968,-1
29,1015,-1
1957,1223,-1
413,6792,-1
8615,11197,-1
847,692,-1
3074,1396,-1
2400,9992,-1
8813,6367,-1
367,2304,-1
2104,2422,-1
297,2922,-1
780,815,-1
126,4920,-1
499,1229,-1
6465,7536,-1
1826,1570,-1
899,9847,-1
930,1944,-1
7937,58,-1
4191,3968,-1
1367,4303,-1
2850,7917,-1
7278,5228,-1
10934,11197,-1
163,3030,-1
226,692,-1
4573,5638,-1
164,5623,-1
1810,1499,-1
3015,2459,-1
1948,4007,-1
6439,3268,-1
2424,4207,-1
1202,438,-1
8935,6777,-1
5994,5302,-1
701,576,-1
4282,221,-1
1995,2980,-1
4234,5022,-1
4253,9651,-1
2897,5355,-1
9513,9513,-1
2680,3500,-1
9401,5578,-1
1634,2827,-1
4581,5605,-1
121,2963,-1
2208,3103,-1
3011,4207,-1
4793,4125,-1
189,3073,-1
5937,4412,-1
10056,8144,-1
3426,4245,-1
413,1649,-1
4169,2936,-1
5969,7213,-1
6139,7321,-1
2416,3871,-1
61,3840,-1
7861,6082,-1
8416,8392,-1
7667,7869,-1
29,213,-1
1650,6804,-1
284,8390,-1
1622,2690,-1
5621,3374,-1
584,714,-1
5847,6367,-1
1781,10049,-1
2711,1272,-1
11,1122,-1
708,965,-1
1813,2600,-1
4114,5241,-1
10939,11218,-1
2808,1499,-1
1396,3964,-1
2143,399,-1
1069,1501,-1
7170,140,-1
4260,6252,-1
3372,8202,-1
4154,6011,-1
6982,1765,-1
6574,5173,-1
2130,4687,-1
3500,5608,-1
1343,2764,-1
3301,1364,-1
3013,4905,-1
6228,7765,-1
44,5034,-1
4268,3039,-1
2188,4111,-1
2142,2931,-1
2553,2102,-1
6117,5654,-1
7666,7470,-1
2422,441,-1
577,909,-1
4108,1454,-1
5889,8917,-1
4109,930,-1
1770,348,-1
1643,297,-1
2312,4204,-1
9050,10905,-1
509,9565,-1
134,400,-1
5584,4329,-1
947,3592,-1
8548,10715,-1
4189,4832,-1
3008,2003,-1
947,2140,-1
97,537,-1
4395,4631,-1
1683,376,-1
2236,1443,-1
3544,7960,-1
584,9628,-1
3535,5284,-1
584,5584,-1
6656,9385,-1
6470,5969,-1
3170,3044,-1
4800,7780,-1
8535,239,-1
5863,6004,-1
6000,812,-1
1057,953,-1
4871,9492,-1
829,2484,-1
2203,2258,-1
5859,5967,-1
11112,1549,-1
349,2078,-1
4154,2560,-1
365,1998,-1
8596,8696,-1
86,1624,-1
919,744,-1
5302,8351,-1
951,376,-1
947,1626,-1
2604,6961,-1
2935,1948,-1
1799,10014,-1
8551,1452,-1
7555,9648,-1
1873,376,-1
1529,1303,-1
6470,9532,-1
3023,1496,-1
2643,1015,-1
5570,3712,-1
3233,1227,-1
9330,7969,-1
10226,9140,-1
2051,2794,-1
10309,1549,-1
983,2553,-1
1411,3752,-1
210,5605,-1
4113,665,-1
292,4931,-1
2969,1396,-1
5105,4204,-1
5051,5168,-1
4308,4541,-1
123,1486,-1
3588,1158,-1
2377,139,-1
4189,5209,-1
161,36,-1
4113,6601,-1
10137,5097,-1
6699,10050,-1
49,6045,-1
8235,10192,-1
4753,812,-1
5226,58,-1
343,4751,-1
8937,6676,-1
1224,441,-1
6095,6004,-1
165,859,-1
2424,7490,-1
7137,3637,-1
3996,2140,-1
44,6231,-1
8558,8035,-1
6749,8867,-1
10243,11021,-1
218,692,-1
44,6654,-1
6338,9951,-1
1812,1486,-1
1452,6030,-1
328,1122,-1
6676,5657,-1
2436,5293,-1
6169,9560,-1
6727,8094,-1
618,1119,-1
6233,9821,-1
991,441,-1
8982,1780,-1
8054,9429,-1
4284,7774,-1
194,120,-1
1133,7029,-1
155,659,-1
5172,6670,-1
4154,7243,-1
2488,3828,-1
4141,584,-1
5853,3003,-1
413,2188,-1
4154,6995,-1
1553,10171,-1
4125,4496,-1
265,2100,-1
2130,4415,-1
7862,3904,-1
349,2593,-1
4247,5845,-1
1706,5908,-1
5570,3523,-1
1181,328,-1
6973,10033,-1
3518,5510,-1
780,4125,-1
121,294,-1
2519,2819,-1
3233,812,-1
1127,563,-1
413,9242,-1
5422,2926,-1
1805,547,-1
563,2188,-1
2208,3691,-1
3576,5310,-1
3026,3315,-1
10816,766,-1
3370,2897,-1
3088,3683,-1
383,1027,-1
697,6232,-1
15,2386,-1
98,10841,-1
5755,7487,-1
1835,1647,-1
3066,7603,-1
538,1215,-1
2008,2601,-1
1408,6431,-1
114,1847,-1
2192,2008,-1
9676,11204,-1
499,169,-1
1595,2465,-1
202,902,-1
540,1517,-1
6303,9790,-1
1622,290,-1
2627,2547,-1
2244,871,-1
220,3030,-1
281,5209,-1
946,218,-1
2491,4047,-1
5149,5578,-1
5984,563,-1
7874,10764,-1
4284,7656,-1
5584,1148,-1
347,3624,-1
5584,1765,-1
6239,5605,-1
175,3880,-1
2011,5442,-1
1224,2019,-1
2082,8071,-1
4589,7321,-1
10930,11076,-1
2701,4947,-1
945,2015,-1
4841,6493,-1
6735,7690,-1
2488,3691,-1
89,2240,-1
3002,3185,-1
133,1274,-1
23,419,-1
1677,3920,-1
1488,282,-1
446,10,-1
861,2828,-1
366,1532,-1
3581,4767,-1
44,394,-1
7711,8109,-1
5809,2188,-1
97,441,-1
44,6996,-1
353,96,-1
776,110,-1
86,930,-1
1027,120,-1
44,441,-1
1705,5604,-1
1792,1565,-1
3216,3001,-1
7188,2147,-1
441,2764,-1
3143,7828,-1
6605,5758,-1
6750,3003,-1
7709,8836,-1
3899,2897,-1
951,4027,-1
388,318,-1
6699,5829,-1
8082,1452,-1
2764,2529,-1
636,2743,-1
4773,6764,-1
5971,8240,-1
5226,10880,-1
8296,9759,-1
4864,4120,-1
2154,2829,-1
