SRC,TGT,Sign,FFpp,FFpm,FFmp,FFmm,FBpp,FBpm,FBmp,FBmm,BFpp,BFpm,BFmp,BFmm,BBpp,BBpm,BBmp,BBmm,TXT
860,602,1,3,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,I know I've seen them around and while I can't recall the circumstances exactly something rings a bell in a good way for me However in looking at the contribs and all it appears they are quite qualified to click on a few extra buttons here and there — 
3005,4299,1,3,1,0,0,7,0,0,0,2,2,0,1,0,0,0,0,per my 
2256,3314,-1,1,0,2,0,2,0,3,0,1,0,1,0,0,0,0,0,I'm trying not to oppose things lately but a lack of understanding of BLP is a dealbreaker even if I could just about overlook the open political bias 
361,365,1,5,0,0,0,15,0,1,1,3,1,0,1,7,0,2,0,Pedro lays out the facts well and I largely agree with him While it doesn't nowadays it should come down to having use for the tools and being a net positive with the tools Everything looks good to me 
4792,8756,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,well it seems like the vandals hate you and they say the enemy of my enemy is my friend 
101,6263,1,2,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,Copyright work is not the easiest function to perform and you do it admirably well I think you will make a fine admin 
1217,4108,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,A fine editor who I have collaborated with on several articles particularly those under 
11,2338,1,16,0,1,0,2,2,1,0,0,0,0,0,0,0,0,0,Won't abuse the tools 
440,1084,1,1,0,0,0,17,3,7,2,2,0,1,0,2,2,5,0,Strongest possible support I've seen this guy around and honestly thought he was an admin ignoring the cliché/ROFLZ value that statement normally brings 
8817,8958,1,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,FYI Snape is a double agent triple agent? 
2559,6234,1,12,1,0,0,20,1,0,0,2,0,0,0,2,0,0,0,great user 
317,415,1,7,0,1,0,1,1,0,0,7,0,2,1,1,0,0,0,No qualms here 
2622,2428,1,5,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,Your comments in Q1 were refreshing and exciting I think you possess more than just trustworthiness maybe even the leadership to help us improve even more 
1314,1877,1,0,0,2,0,2,0,0,0,3,0,0,0,1,0,0,0,editor is very well–balanced in nearly every aspect of Wikipedia from looking at the contribs I think user would do fine with the tools 
343,1764,1,9,1,0,0,1,0,0,0,2,0,0,1,0,0,0,0,looks like a good user As for the three self-nominations? Not a concern 
345,226,-1,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,Not enough admin-related experience 
5764,6723,-1,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,weak answers 
2209,3101,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,I rarely comment on RfAs lately it seems but I have seen this user in action here and on WikiSource where I urged him to stand for admin I think he'll make a fine admin here because he "gets it" "has a deft hand" and is "unlikely to delete the main page" SO
2962,3073,-1,1,1,0,0,7,0,3,1,2,1,0,1,2,1,0,0,I have grave concerns about maturity Nothing in this users behaviour shows me anything but a lust for the tools and an inability to act with some level of responsibility 
4359,7456,-1,6,0,0,0,13,1,0,2,6,2,0,0,2,1,0,0,unfortunately Seems like a quality contributor to the encyclopaedia However I share the many POV concerns raised above and this coupled with an editor who works in controversial topic areas is too much of a risk for me 
1209,9513,-1,2,2,0,0,0,0,0,0,3,2,0,1,0,0,0,0,per original vote citing civility issues 
2187,3782,1,17,2,0,0,20,1,2,0,1,0,0,0,0,0,0,0,A very experienced former admin No reason to oppose We need more admins! 
601,714,1,3,0,0,0,1,2,0,0,12,0,0,0,0,0,0,0,I have the baseball project on my watchlist can't recall why and occasionally look in on discussions there I also read over plenty of sports AfDs and have seen Bagumba participate in quite a few In both cases he has come across as a very capable editor who knows his stuff and can discuss things rationally I'm sure he'll do good work as an admin 
2107,2490,1,4,0,1,0,0,0,0,1,2,0,0,0,1,0,0,0,I looked at Olaf's coaching page and when I saw Deletion Today I thought it was some sort of newsletter written by deletionists Olaf's been around and I see no problems and a positive use for the tools 
2218,1217,1,10,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,No problems here 
3191,4330,1,0,0,0,0,5,0,0,0,1,0,0,0,9,0,0,0,Yes! Why aren't more people piling on? 
1084,3005,1,2,0,0,1,18,0,2,0,3,0,0,0,1,0,0,0,On balance I'd say this candidate will be a net positive More to the point is saying "on balance" and then saying "net positive" a grievous sin against the language? 
3267,4311,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,I've had good interactions with the user and am confident she will not damage WP with the tools 
487,1639,1,3,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,Good candidate 
4190,6728,1,11,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,seems to be a good guy 
236,165,-1,1,0,0,0,8,2,3,2,3,8,0,1,9,0,1,0,Huh? {{smiley|confused}} I would love to say how the user write shouldn't come into it too much so long as the message and intention is clear enough The problem is after reading the self-nomination statement and user talk comment linked to in Q10 I'm not so sure that I would be able to communicate with My76Strat at all if needed never mind effectively That style of writing is certainly perfectly valid but it's not for me I'm afraid 
146,189,1,7,0,4,0,2,0,0,0,11,0,0,0,0,0,0,0,As nominator —
8019,5577,-1,3,1,1,0,0,1,1,0,2,1,0,0,0,0,0,0,per Encyclopedia Dramatica adminship 
5987,6726,1,2,6,0,0,4,0,0,0,3,5,0,0,9,0,0,0,meets 
7452,5754,1,2,1,0,0,4,3,2,1,0,1,0,0,2,0,0,0,No reason not to give the user a second chance and whilst I didn't come across the user as NSLE I've seen the candidate using "Chacor" quite a bit around Wikipedia and have been impressed with his thoughtfulness and level-headed approach Also he obviously has the necessary experience so sure 
6573,4990,1,2,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,Very active doing cleanup and janitorial work 
5987,8506,1,7,2,0,0,1,0,0,0,9,0,1,0,4,0,0,0,but only on the account that Joshbuddy will start using the tools on obvious things only but as he gets accustomed to more Wikipedia policy he can use the tools more I trust him though so its a support from me — 
414,3094,1,1,1,0,0,2,0,0,0,5,0,0,0,4,0,0,0,Did you know that I want to start this ball rolling again? Law has proven himself to me not only from the content he has developed but also from the great answers he's given in the questions above Obviously has a clue about things and is willing to help 
2187,6924,-1,2,4,0,0,5,1,0,0,0,0,0,0,0,0,0,0,I would like to see more experience in the actual editing of articles 
2603,2547,1,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,I can't believe I haven't voted in this one yet! 
5828,8320,1,2,0,0,0,1,0,0,0,5,0,0,0,3,0,1,0,but get to work on those page moves 
6567,3636,1,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,Every edit should have descriptive edit summary If there are recent examples of clearly wrong behavior they should be listed instead of fuzzy comments about incompetence 
6234,6197,1,4,0,1,0,8,0,1,1,10,0,0,0,1,0,1,0,the promising candidate having a positive outlook and friendly nature Still I would have preferred the candidate restricting the answer to Q1 below to only admin-related works -
1619,2433,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,I share some of Steven Walling's concern below but the candidate appears to have a solid grasp of the underlying principles of the role and not afraid to take oppose-inviting stands on important issues I hope you stick to the 'mop not cop' philosophy while branching out from gnome-editing 
2187,3492,1,1,0,0,0,13,1,2,0,0,0,0,0,0,0,0,0,A good user 
239,1143,1,2,0,0,0,4,0,0,0,3,1,0,0,1,0,0,0,His answer to his own 'oppose' represents a good natured user He hasn't responded harshly at all and thus demonstrated his maturity here 
811,3870,-1,11,3,4,2,0,0,1,1,3,0,3,2,0,1,0,0,poor behavior and some things downright alarming 
293,11,1,0,0,1,0,7,1,7,1,0,0,0,0,18,1,5,0,Per TParis and more so Fluffernutter We all endeavor to become better people to move on from our mistakes and Secret is doing that with this RfA 
152,1457,1,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,We need more admins who understand and can edit protected templates 
10039,8043,1,1,2,0,0,3,0,0,0,0,1,0,1,0,0,1,0,Of course he should be an administrator He is so nice 
31,5774,1,4,0,0,0,6,1,0,0,7,1,0,0,0,0,0,0,per noms and all above Good user can use tools effectively no worries Any concerns about Wikivoter can be discussed elsewhere and do not reflect on qualifications for admin'ship 
4996,5828,1,5,1,0,1,3,0,0,0,7,2,0,3,4,0,0,0,Is where a WP
2552,357,1,0,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0,An admin who has shown appropriate respect for the delicate balancing act of being an admin 
2700,6726,-1,3,3,1,0,2,0,0,0,1,0,0,0,2,0,0,0,I've seen this editor around and I think that he's doing a good job but I see no need for the admin tools Recent vandal-fight and participation in XfD is virtually inexistent answer to Q1 denotes that the user might not have a clear definition of the typical roles expected to be performed by administrators 
4153,9146,-1,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,per freakofnurture More time to gain experience will be helpful in this instance 
36,5,1,1,0,0,0,10,0,0,0,7,1,2,0,3,1,0,0,Solid "young" editor with over 12000 total edits and almost 7500 to article space I had more that I was going to say but you know what? Ed's comment immediately above sums it up nicely
217,353,1,1,0,1,0,8,0,1,1,0,0,4,0,0,0,5,0,Mark Arsten is exactly the kind of editor who should be a sysop He is helpful patient and knowledgeable I am very pleased that he should run for adminship and I can support him without any reservations ~ 
4190,4580,1,12,0,1,0,13,1,0,0,0,0,1,0,0,0,0,0,very good editor should make a fine sysop 
2187,9548,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A good user 
1084,5369,1,0,5,1,0,0,0,0,0,1,1,0,0,0,0,0,0,I can't really hold his contributions on another wiki against him Maybe he uses a public restroom and doesn't flush IRL what does that have to do with admin access on wikipedia? As for past problems bygones are bygones As this wiki gets older and bigger it will be harder and harder to find admins if we keep looking backward Clearly a dedicated editor 
305,5873,1,2,0,0,0,1,0,0,0,6,0,0,0,2,0,0,0,good taste in music  
343,2622,1,2,0,1,0,34,3,0,0,2,0,0,0,0,0,0,0,I agree with Wizardman 
398,1618,1,5,2,0,0,4,0,0,0,2,0,0,0,1,0,0,0,Long overdue Obviously knows what he enjoys and would make a solid AfD admin 
3492,2366,1,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,yep 
1008,2703,-1,3,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,Oppose Strongest possible oppose Maybe I'm getting the wrong end of the stick from the answers to Q6 and 9 but you seem to think admins are exempt from policies or are exempt from being blocked for violations thereof Also admisnhip is about making tough decisions- if it wasn't we'd have bots that do more than just clerk AIV and RfPP Wishing to be an uncontroversial admin is commendable but I worry that you wouldn't be comfortable having to make potentially controversial decisions and I have concerns over how you would deal with the inevitable screams of admin abuse that follow any controversial decision I can't support an admin who won't make a judgement call when it might be controversial- that why we have admins 
5895,195,1,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,per much of the above and frankly much of the comments below as well I think the links posted below especially those vandalism warnings show above all that this user has a very healthy view on vandalism and on interacting with the users behind it 
3,212,1,3,1,0,0,1,0,1,0,8,2,0,0,0,0,0,0,Experienced and trusted long-time contributor Help with backlogs is always badly needed 
1157,300,-1,2,0,0,0,22,2,4,0,1,0,0,0,1,0,0,0,Not ready yet The answers to the questions show this user could develop a bit more experience Sorry 
3,11,1,0,0,0,0,15,2,1,0,2,0,0,0,17,3,0,0,Highly experienced content editor and alot of past experience as an active admin Seems like he's learned to deal with the personal issues so I say give him another chance 
5799,434,-1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,per the answers to Q4 and Q8 Even accepting 
60,104,1,6,0,0,0,35,14,2,6,0,0,0,0,1,0,0,0,I've collaborated with Kudpung in several areas and whilst we don't always agree I greatly respect him He's done good work in referencing unreferenced BLPs re his own WikiProject and has been helpful both in uBLPs and 
4153,6234,-1,9,1,8,0,12,0,4,3,1,0,0,0,1,0,0,0,per SlimVirgin 
5846,5764,-1,2,0,1,0,33,4,7,3,0,2,1,0,9,1,1,0,per Harro5 and aeropagitica 
398,414,1,7,0,1,0,6,1,0,0,2,0,1,0,1,0,0,0,Of course 
8625,2531,-1,1,0,0,0,9,1,2,1,2,0,0,0,4,0,0,0,Hasn't been here for very long Only has 12 edits in the Wikipedia namespace That shows you don't vote on RFAs very much I don't think you should become an admin unless you take part in the process 
1093,9144,1,1,2,0,0,0,0,0,0,1,2,0,0,1,0,0,0,Because admin should be no big deal right? 
5590,5405,1,6,0,2,0,6,0,0,0,4,0,1,0,0,0,0,0,no worries 
5620,6034,1,6,2,0,0,7,0,2,0,0,1,0,0,0,0,1,0,Double edit conflict support Another excellent candidate for the mop and bucket 
10332,109,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,seems like a resonable fella' 
1497,2453,1,1,0,0,0,7,2,0,1,1,0,0,0,5,1,0,0,Didn't even need to think about this one 
281,577,1,3,0,2,0,6,0,4,1,6,0,2,0,6,0,3,0,without any hesitations
1122,238,-1,1,1,1,0,1,0,1,0,2,0,0,0,0,0,0,0,Reluctant oppose per Bishonen and the difs provided User's current contribs are good and Orphanbot is excellent but there are still some problems that I feel haven't been addressed Sorry 
2265,6134,1,0,0,0,0,8,2,1,5,0,0,0,0,1,1,1,0,Although 
2479,5754,1,0,0,0,0,3,1,0,1,3,2,0,0,2,5,0,0,the re-mopping Absolutely 
5895,3055,-1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,mainly because of this 
5304,8425,1,12,0,0,0,4,0,0,0,11,0,0,0,2,0,0,0,Vanilla support 
8522,11230,-1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,I believe that the English Wikipedia has a different culture and different norms than most of the other MediaWiki projects due to its size and longer history While I can understand Rogper's frustration with being unable to add interlanguage links to protected pages there are in fact fewer protected pages in the English Wikipedia than there are admins here who would be willing to add such links if notified of the need 
2107,398,1,4,1,0,0,16,2,3,0,0,0,0,0,7,1,0,0,I thought Ceranthor was an admin too Better make him one 
27,782,-1,2,4,0,2,0,0,0,0,1,1,0,0,0,0,0,0,I'm sorry but I'm really not confident in the candidate's answers to questions You can't just have a go at admin and see what suits you - you need to understand what you want to do have done some preparation and be able to show why you are to be trusted with the admin tasks you want to perform I'm also seeing a problem with communication and I'm really not sure what Pjoef is actually trying to say - clarity of communication is essential for an admin 
5301,4411,1,0,2,0,0,7,0,3,0,0,1,0,0,1,0,0,0,per above Will probably make a good admin —
429,238,1,3,2,0,1,7,1,0,0,2,0,0,0,0,0,0,0,Excellent editor strong adminship candidate 
5421,313,1,3,0,0,0,41,1,0,0,1,0,0,0,0,0,0,0,per excellent nom Great user with a good record of article work and vandalism-fighting Very friendly and level-headed Excellent candidate - 
8253,6068,-1,1,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,simply not enough edits 
6728,7136,1,4,2,0,0,3,2,0,0,8,3,0,0,1,1,0,0,Though I have had no personal interaction with Sean to my recollection I see no reason to deny the tools to someone who give them up volunteerily - 
1084,278,1,5,1,1,1,2,1,1,0,3,0,0,0,1,0,0,0,This is not how I would have expected this to go Most of the time I see BMW on the drama boards it isn't because he is lurking of course that is usually why I am there but because some issue on WQA has brought him there And a number of times I have seen him there he has offered some opinion or proposed some solution that has rankled me In fact I have found myself remarking "Who is this guy and how the hell did he become an admin?!" But most of those cases I settled down and determined that he made a compelling case and important to me didn't fill up the page with useless papas Guy says when he made a comment it was worth reading He makes mistakes he holds opinions on things and has even voiced them before getting "
2453,1416,1,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,per nomination I trust Majorly majorly 
5371,8350,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Support $user is not an admin? 
93,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Answers appear generally clueful no reason to think tools will be abused And I still haven't done a GA
221,76,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,every time I've seen Mr Stradivarius around he's clear patient and civil I think the tools will be in very good hands here 
1000,104,1,3,1,0,0,28,3,9,9,1,0,0,0,3,2,0,0,I think from past observations eg the BLPPROD development and having deleted quite a few of his CSD-tagged articles he'll do an excellent job in the deletion-related areas he's nominated 
2699,852,1,2,0,1,0,2,0,0,0,4,0,0,0,0,0,0,0,Sure 
6441,7820,-1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Strongly Oppose Not only is an unsupervised admin bot rather worrying when the hypothetical situation arises that one is needed for the continued operation of wikipedia then I'll consider it we are currently not in that state of need as such it shouldn't be used as it's arguement for inclusion Another reason is as wikipedia is built around the concept of open source I'd prefer as much as possible if done likewise so while it is not a major point of mine it is still is another minor reason for opposing that the source code is not available Also the bot can not accept or decline the nomination! Not a good way for a bot to start of being an admin by ignoring the rules of RfA lol 
153,212,1,7,1,1,0,2,0,0,0,3,1,0,0,0,0,0,0,After reviewing a number of contributions including some AfD participation I roughly end up sharing the thoughts expressed by Newyorkbrad In addition I know this will help the editor's work with copyright which is an area of need and I trust the editor to not screw the place up irretrievably 
5620,6728,1,6,0,0,0,13,0,0,0,2,0,0,0,0,0,0,0,Solid-looking editor should be handy with the tools 
6134,6238,-1,2,3,2,0,10,0,2,0,2,2,0,1,1,0,0,0,Not enough time too little projectspace paricipation Will be prepared to support in three months - 
2380,31,1,2,0,0,0,12,0,2,0,3,0,1,0,1,0,3,0,a very worthwhile candidate 
886,605,1,0,1,0,0,5,0,0,1,1,0,1,1,0,1,0,1,I've seen this user around he's also a mentor - and I'm amazed by his answers I think that he's one of the users who can be trusted with the sysop bit 
2559,9153,1,18,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,per MONGO 
2971,5920,1,1,0,0,0,10,1,0,1,2,0,0,0,1,2,0,0,good candidate 
7357,2364,1,1,0,0,0,3,0,0,0,2,0,0,0,3,0,0,0,obviously And welcome to 
1209,7827,1,1,2,0,0,0,1,0,0,3,1,0,1,1,0,0,0,Contributes on various technical cleanup projects and dealt with a minor edit conflict appropriately 
4599,3696,1,3,0,0,0,9,1,1,0,5,0,0,0,3,0,0,0,appreciate the initiative of Comm Justice although it's at the point where it really needs to define its purpose 
2050,6716,1,7,0,0,0,6,3,0,2,5,0,0,0,4,0,0,0,Unnecessary support Looks great to me 
6097,6332,1,6,0,0,0,5,1,0,0,2,0,0,0,0,1,0,0,as per nom - 
8253,8958,-1,1,0,3,0,0,1,2,1,2,0,3,0,2,0,0,0,JETFA is a perfect example of the immaturity that seems to be creeping into Wikipedia I am increasingly seeing users make offensive comments when voting and editing in general In addition to the "extreme" votes other users have been voting neutral just for the sake of voting with ridiculous comments "Neutral until candidate answers the question" or "Neutral I have not interacted with this user" I see JETFA as inextricably tied to this voting pattern 
1314,308,-1,2,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,Could use more time in the trenches working in the mainspace I also partially agree with some of the AfD reasons as stated by several above For me citing "fails 
14,3441,1,3,0,0,0,9,0,0,0,3,0,0,0,4,0,0,0,I've seen this guy around fighting vandalism and contributing 
60,4904,1,16,2,0,1,0,0,0,0,2,2,2,0,0,0,0,0,Mainly per Majorly but also on the proviso that you agree to register yourself 
4638,6187,1,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,Extremely strong support Diligent thoughtful and everywhere I can say honestly that Yomanangi's commitment to the mainspace is as excellent as I've ever seen in a candidate—if you watch 
2971,6097,1,2,0,0,0,15,1,0,0,3,0,0,0,3,0,0,0,Breaking my wikibreak just for this Strong Support 
2380,446,1,0,0,1,0,14,0,2,0,1,0,3,0,3,0,1,0,seen this user around thought he was already an admin 
1871,7090,1,6,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,A first class editor who should make a first class admin 
3212,1569,-1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,Hard to gain back trust once lost Conclusions at 
3064,811,-1,1,1,2,0,2,1,0,1,3,1,0,0,3,1,0,0,The question has to be is this editor less likely to "step on landmines" than they were? I cannot get past the answer to Q14 which seems exactly wrong to me and implies that the candidate's inclusionist philosophy would inform their approach to blocked and banned editors Reading further discussion particularly the opposes adds further concerns Undoubtedly this is a great editor and a prodigious contributor but I do not think the risk of handing them the tools would be worth the benefit 
5781,4518,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,Trustworthy impressed by answers to questions 
6234,2547,1,9,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,per my interactions with him 
2187,8019,1,6,5,0,0,16,4,1,0,0,0,0,1,0,0,0,0,per NSLE 
575,12,-1,5,1,2,0,2,0,1,0,5,0,2,0,9,1,5,0,Per Scottywong → 
2394,750,-1,0,0,0,1,6,0,1,1,0,0,0,0,0,0,1,0,Adminship is no big deal RFA is even less of big deal Candidate is taking this a little too seriously for my taste BTW Jaranda had 7 RfAs before getting the mop so I wouldn't worry 
189,353,1,1,0,0,0,1,0,0,0,11,0,0,0,12,2,0,0,While we haven't interacted I'm aware of Mark's contributions as a valued member of the community 
570,353,1,2,0,0,0,8,0,1,0,0,0,0,0,1,0,0,0,logs and deleted content look OK 
1411,365,1,2,0,0,0,2,0,2,0,2,0,1,0,0,0,1,0,polite level-headed and clueful ╟─
6228,7701,1,4,0,0,0,5,1,3,1,0,0,0,0,0,0,0,0,No-brainer
440,518,1,4,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,excellent looking user No reason to suggest he'll be anything but a benefit to the project if given the tools 
4599,8413,1,7,0,1,0,1,0,0,0,9,0,0,0,0,0,0,0,yet another editor I thought was already an admin 
1903,1798,1,0,0,0,0,3,1,0,0,1,0,0,0,0,2,0,0,when I've run across him in various places he always seems civil and knowledgeable and looks to be a solid choice for admin 
353,527,1,10,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,No concernshe seems like a pretty sensible guy 
97,7090,1,10,0,2,0,8,0,0,1,2,0,3,0,0,0,0,0,Excellent candidate for adminship
4190,9500,-1,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,per Slimvirgin and anonym 
617,9259,-1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,because I think there are several downsides and no upsides to having administrators who are very visibly espousing strongly-held political or religious beliefs and who focus their Wikipedia contributions on articles in that field Even though I have no reason to believe that Catamorphism will abuse the admin tools I imagine readers and new users who don't really grok Wikipedia yet will be swift to suspect bias when being confronted with administrative action no matter how justified in an article related to Catamorphism's personal views I'm afraid to say that my one interaction with Catamorphism on an AfD doesn't help either I think his insistence that everyone adjust their language [[Sapir-Whorf hypothesis|and thus their personal ideas]] on sex and gender to accommodate his supposed gender is incivil and reflects an attitude unbecoming an administrator He has certainly every right to call himself whatever he wants to but he has no grounds to request that other people who can see a man's photograph on his user page call him anything else but the standard English "he" They might do that out of courtesy or conviction once they get to know him but to insist on it reeks of arrogance Sorry 
5856,8279,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,I for one think we need to be more willing to grant admin privledges to users with a narrow need who demonstrate the maturity and civility requisite for the trust involved I trust Art to use the admin privledges where he has the need and knowledge and to not use them where he is not informed —
2700,4267,1,12,0,0,0,7,1,0,0,1,0,0,0,0,0,0,0,as nom 
3055,612,1,0,0,1,0,0,0,1,0,5,0,0,0,1,0,0,0,Don't remember where I encountered this editor but the interaction was good IIRC Reviewed contribution history edit count block log etc and it seems to satisfy my personal criteria Could use more article work though 
2039,1062,-1,1,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,My reason for opposing is simply one of time It is my firm belief that an Admin nominee must demonstrate a reasonable amount of contribution to the Wiki quantitatively judged by edit distribution and quanity and qualitatively judged by well examining edits I also believe that a nominee must also demonstrate commitment to the Wiki in terms of time I believe that three months is the absolute minimum and my personal preference is for four to five This is not a statement about the quality of a candidatea candidate that has what it takes to be a good Administrator has those qualities from their very first day on the Wiki and a candidate that does not posess those qualities will not aquire them even in months of contribution to the Wiki I believe that requiring a certain time commitment serves both as an opportunity for the candidate to observe and digest the various elements of the community but also allows the community time to evaluate the candidate Trust but verify Verification requires time That is why I am Opposing I would also like to comment on some elements of your answers that I noted These are my opinions and do not neccessarily reflect the viewpoints of the community as a whole I happen to dislike NSLE's question #3 as I don't neccesarily agree that blocking abusive vandals who have targeted you is a conflict of interest so to me the question itself is problematic My feeling is that if users are vandalising and being uncivil that is problematic no matter if they are attacking you or someone else If you would block them if their actions were directed at another user I have no issue with you blocking them yourself However it's perfectly alright to get a second opinion I just don't feel it's an absolute neccessity Also your answer to NSLE's question #1 seems to discuss taking steps to confirm whether the established editor is really using a sockpuppet or not This is just me being picky about semantics but in my mind the phrasing of the question you find out that an editor has been using sockpuppets abusively Implies the editor is a sockpuppetin other words you are informed as as established fact that an editor is abusing sockpuppets I'd be interested to see what your response was with that interpretation I do however like your answers to a lot of the other questions and I thank you for your work with Tawkerbot2the more tools we have to fight vandalism with the better I think you are on the right path but I feel you need some more time to experience Wikipedia and learn more about the subleties of the culture here Best regards 
22,3967,1,4,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,with pleasure 
587,8290,1,7,0,1,0,10,1,2,0,2,0,3,0,4,1,4,0,Very experienced and wise contributor 
4330,9513,-1,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,due to abrasiveness This would be tested further under conflict in admin role
8108,8360,1,3,0,0,0,3,0,0,0,11,1,0,1,2,0,0,0,looks good
1662,2303,1,1,0,1,0,0,0,1,0,4,1,1,0,0,1,0,0,I don't think your answers are TLDR at all I think they show you've thought your positions through and answered honestly A laudable position indeed Contributions look excellent and a clean block-history Good luck! 
9147,10489,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,One of the best contributors I know He'll also make a responsable admin 
